Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Unnamed: 15,Unnamed: 16,Datetime
12/03/2004,22.00.00,,1484.0,215.0,,1127.0,253.0,839.0,139.0,1723.0,1491.0,"11,0","59,1","0,7740",,,2004-12-03
12/03/2004,23.00.00,,1677.0,367.0,,1346.0,300.0,741.0,134.0,2062.0,1657.0,"9,7","64,6","0,7771",,,2004-12-03
13/03/2004,00.00.00,,1280.0,122.0,,964.0,193.0,963.0,113.0,1544.0,1285.0,"9,5","64,1","0,7597",,,
13/03/2004,01.00.00,,1196.0,67.0,,873.0,139.0,1071.0,97.0,1463.0,1144.0,"9,1","63,9","0,7423",,,
13/03/2004,02.00.00,,1184.0,43.0,,782.0,83.0,1176.0,82.0,1365.0,1043.0,"8,8","63,9","0,7256",,,
13/03/2004,03.00.00,,1172.0,46.0,,783.0,,1179.0,,1380.0,996.0,"7,8","67,5","0,7173",,,
13/03/2004,04.00.00,-200.0,1147.0,56.0,,821.0,109.0,1132.0,83.0,1412.0,992.0,"7,0","71,1","0,7158",,,
13/03/2004,05.00.00,1.0,978.0,30.0,,625.0,62.0,1420.0,65.0,1274.0,819.0,"8,3","63,6","0,6982",,,
13/03/2004,06.00.00,,1100.0,27.0,,646.0,53.0,1406.0,60.0,1268.0,835.0,"7,2","67,5","0,6887",,,
13/03/2004,07.00.00,,1112.0,47.0,,770.0,139.0,1228.0,77.0,1409.0,940.0,"6,3","71,9","0,6932",,,
13/03/2004,08.00.00,,1336.0,132.0,,1043.0,256.0,935.0,96.0,1678.0,1192.0,"6,5","71,6","0,6945",,,
13/03/2004,09.00.00,,1408.0,239.0,,1153.0,295.0,830.0,119.0,1777.0,1411.0,"9,6","59,7","0,7124",,,
13/03/2004,10.00.00,,1447.0,160.0,,1081.0,250.0,869.0,126.0,1667.0,1465.0,"12,4","51,2","0,7335",,,
13/03/2004,11.00.00,,1542.0,283.0,,1184.0,296.0,808.0,158.0,1780.0,1583.0,"15,6","42,2","0,7451",,,
13/03/2004,12.00.00,,1451.0,210.0,,1117.0,239.0,875.0,161.0,1679.0,1387.0,"18,4","33,8","0,7090",,,
13/03/2004,13.00.00,,1328.0,154.0,,1059.0,153.0,987.0,124.0,1600.0,1101.0,"19,4","31,3","0,6950",,,
13/03/2004,14.00.00,2.0,1207.0,112.0,,924.0,118.0,1088.0,102.0,1488.0,850.0,"18,0","34,8","0,7127",,,
13/03/2004,15.00.00,2.0,1240.0,108.0,,947.0,119.0,1049.0,116.0,1532.0,947.0,"18,4","33,6","0,7042",,,
13/03/2004,16.00.00,,1306.0,111.0,,987.0,138.0,1004.0,124.0,1554.0,1078.0,"17,6","35,1","0,7012",,,
13/03/2004,17.00.00,,1326.0,97.0,,1000.0,148.0,976.0,125.0,1602.0,1084.0,"16,7","37,8","0,7117",,,
13/03/2004,18.00.00,,1473.0,191.0,,1163.0,227.0,831.0,148.0,1779.0,1395.0,"16,1","41,0","0,7451",,,
13/03/2004,19.00.00,,1609.0,258.0,,1286.0,277.0,758.0,165.0,1922.0,1612.0,"15,8","42,4","0,7569",,,
13/03/2004,20.00.00,,1611.0,284.0,,1274.0,279.0,754.0,161.0,1915.0,1697.0,"15,7","44,1","0,7786",,,
13/03/2004,21.00.00,,1621.0,269.0,,1247.0,283.0,762.0,159.0,1860.0,1886.0,"15,3","46,8","0,8091",,,
13/03/2004,22.00.00,,1444.0,180.0,,1089.0,214.0,844.0,143.0,1748.0,1624.0,"14,6","48,6","0,8060",,,
13/03/2004,23.00.00,,1418.0,116.0,,1010.0,172.0,892.0,130.0,1603.0,1536.0,"14,7","49,3","0,8193",,,
14/03/2004,00.00.00,,1534.0,93.0,,1013.0,190.0,889.0,129.0,1611.0,1535.0,"13,9","53,6","0,8498",,,
14/03/2004,01.00.00,,1484.0,131.0,,1045.0,174.0,880.0,119.0,1624.0,1530.0,"14,6","51,5","0,8536",,,
14/03/2004,02.00.00,,1367.0,92.0,,925.0,128.0,953.0,104.0,1543.0,1337.0,"12,5","58,9","0,8537",,,
14/03/2004,03.00.00,,1344.0,132.0,,968.0,,921.0,,1620.0,1278.0,"11,6","63,4","0,8674",,,
14/03/2004,04.00.00,-200.0,1130.0,56.0,,773.0,70.0,1130.0,82.0,1452.0,1051.0,"12,1","61,1","0,8603",,,
14/03/2004,05.00.00,,1062.0,32.0,,691.0,53.0,1272.0,70.0,1377.0,929.0,"11,5","63,1","0,8533",,,
14/03/2004,06.00.00,1.0,1076.0,29.0,,618.0,44.0,1395.0,63.0,1333.0,872.0,"11,6","62,2","0,8473",,,
14/03/2004,07.00.00,,1028.0,27.0,,615.0,74.0,1384.0,67.0,1340.0,853.0,"10,4","67,6","0,8530",,,
14/03/2004,08.00.00,,1155.0,36.0,,722.0,101.0,1225.0,84.0,1414.0,959.0,"11,6","62,7","0,8530",,,
14/03/2004,09.00.00,,1235.0,57.0,,828.0,118.0,1055.0,83.0,1527.0,1093.0,"12,4","60,0","0,8627",,,
14/03/2004,10.00.00,,1332.0,129.0,,923.0,144.0,952.0,98.0,1614.0,1225.0,"14,5","53,1","0,8728",,,
14/03/2004,11.00.00,,1445.0,148.0,,1009.0,176.0,878.0,114.0,1696.0,1355.0,"16,9","46,1","0,8789",,,
14/03/2004,12.00.00,,1416.0,145.0,,1002.0,161.0,907.0,119.0,1677.0,1262.0,"19,3","38,3","0,8474",,,
14/03/2004,13.00.00,2.0,1281.0,93.0,,880.0,113.0,1084.0,104.0,1525.0,980.0,"21,2","31,4","0,7812",,,
14/03/2004,14.00.00,,1207.0,84.0,,879.0,103.0,1104.0,102.0,1490.0,872.0,"21,4","30,2","0,7616",,,
14/03/2004,15.00.00,,1258.0,99.0,,906.0,112.0,1081.0,107.0,1511.0,900.0,"21,9","29,0","0,7525",,,
14/03/2004,16.00.00,3.0,1458.0,150.0,,1045.0,170.0,974.0,129.0,1646.0,1099.0,"22,2","28,4","0,7516",,,
14/03/2004,17.00.00,,1438.0,156.0,,1051.0,180.0,943.0,128.0,1668.0,1206.0,"21,3","30,8","0,7696",,,
14/03/2004,18.00.00,,1478.0,122.0,,1055.0,160.0,929.0,121.0,1671.0,1262.0,"19,7","36,7","0,8307",,,
14/03/2004,19.00.00,,1808.0,262.0,,1312.0,261.0,753.0,157.0,1993.0,1698.0,"18,4","41,7","0,8732",,,
14/03/2004,20.00.00,,1898.0,341.0,,1381.0,325.0,681.0,173.0,2103.0,1905.0,"17,6","46,1","0,9210",,,
14/03/2004,21.00.00,,1560.0,214.0,,1140.0,217.0,784.0,146.0,1818.0,1648.0,"16,7","49,6","0,9320",,,
14/03/2004,22.00.00,,1324.0,100.0,,940.0,146.0,924.0,121.0,1587.0,1423.0,"16,3","51,0","0,9341",,,
14/03/2004,23.00.00,,1349.0,79.0,,933.0,152.0,933.0,119.0,1617.0,1349.0,"14,7","55,9","0,9314",,,
15/03/2004,00.00.00,,1239.0,66.0,,872.0,104.0,985.0,99.0,1547.0,1250.0,"14,8","54,7","0,9164",,,
15/03/2004,01.00.00,,1239.0,73.0,,853.0,106.0,1010.0,93.0,1543.0,1174.0,"14,0","57,0","0,9094",,,
15/03/2004,02.00.00,,1224.0,66.0,,855.0,108.0,998.0,88.0,1566.0,1149.0,"13,4","61,3","0,9361",,,
15/03/2004,03.00.00,,1078.0,44.0,,734.0,,1128.0,,1487.0,1021.0,"12,6","63,5","0,9230",,,
15/03/2004,04.00.00,-200.0,1078.0,44.0,,711.0,66.0,1150.0,71.0,1468.0,1013.0,"12,3","65,4","0,9351",,,
15/03/2004,05.00.00,1.0,1075.0,39.0,,703.0,88.0,1156.0,74.0,1464.0,1010.0,"11,9","67,4","0,9375",,,
15/03/2004,06.00.00,,1157.0,51.0,,830.0,138.0,1030.0,80.0,1584.0,1083.0,"11,4","70,5","0,9475",,,
15/03/2004,07.00.00,,1314.0,107.0,,966.0,228.0,897.0,89.0,1710.0,1235.0,"11,3","70,2","0,9401",,,
15/03/2004,08.00.00,,1797.0,336.0,,1451.0,360.0,652.0,114.0,2323.0,1680.0,"12,4","63,9","0,9170",,,
15/03/2004,09.00.00,,1961.0,618.0,,1701.0,478.0,537.0,149.0,2665.0,2184.0,"14,8","54,3","0,9076",,,
15/03/2004,10.00.00,,1771.0,438.0,,1470.0,394.0,622.0,157.0,2262.0,1973.0,"17,4","45,6","0,8993",,,
15/03/2004,11.00.00,,1564.0,334.0,,1300.0,319.0,710.0,155.0,2029.0,1798.0,"19,8","38,5","0,8801",,,
15/03/2004,12.00.00,,1430.0,221.0,,1120.0,201.0,831.0,134.0,1783.0,1522.0,"22,0","34,1","0,8904",,,
15/03/2004,13.00.00,,1417.0,207.0,,1146.0,171.0,830.0,119.0,1831.0,1404.0,"23,3","32,2","0,9096",,,
15/03/2004,14.00.00,,1400.0,191.0,,1162.0,159.0,838.0,111.0,1829.0,1263.0,"23,9","30,0","0,8757",,,
15/03/2004,15.00.00,,1317.0,185.0,,1053.0,153.0,926.0,104.0,1707.0,1137.0,"24,4","28,9","0,8736",,,
15/03/2004,16.00.00,,1318.0,141.0,,1033.0,143.0,950.0,99.0,1675.0,1068.0,"24,4","29,4","0,8848",,,
15/03/2004,17.00.00,,1445.0,214.0,,1141.0,156.0,857.0,110.0,1824.0,1252.0,"23,8","31,3","0,9137",,,
15/03/2004,18.00.00,,1917.0,471.0,,1601.0,314.0,631.0,162.0,2447.0,1843.0,"22,5","35,4","0,9547",,,
15/03/2004,19.00.00,8.0,2040.0,685.0,,1754.0,404.0,542.0,187.0,2679.0,2122.0,"20,4","42,5","1,0086",,,
15/03/2004,20.00.00,,1895.0,538.0,,1573.0,320.0,565.0,165.0,2443.0,1992.0,"18,3","52,6","1,0945",,,
15/03/2004,21.00.00,,1595.0,319.0,,1294.0,256.0,678.0,145.0,2058.0,1707.0,"16,7","57,4","1,0786",,,
15/03/2004,22.00.00,,1439.0,224.0,,1159.0,193.0,764.0,125.0,1856.0,1494.0,"15,7","60,2","1,0654",,,
15/03/2004,23.00.00,,1142.0,67.0,,852.0,89.0,1008.0,101.0,1547.0,1164.0,"15,3","61,4","1,0580",,,
16/03/2004,00.00.00,,1304.0,155.0,,1019.0,127.0,852.0,103.0,1731.0,1272.0,"14,1","65,7","1,0494",,,
16/03/2004,01.00.00,,1074.0,49.0,,784.0,79.0,1098.0,88.0,1483.0,1040.0,"14,8","60,6","1,0148",,,
16/03/2004,02.00.00,,968.0,29.0,,640.0,43.0,1320.0,61.0,1386.0,867.0,"14,8","59,2","0,9879",,,
16/03/2004,03.00.00,,929.0,25.0,,608.0,,1376.0,,1364.0,826.0,"13,6","62,1","0,9636",,,
16/03/2004,04.00.00,-200.0,941.0,25.0,,626.0,59.0,1316.0,59.0,1373.0,840.0,"12,3","66,2","0,9450",,,
16/03/2004,05.00.00,,937.0,17.0,,585.0,38.0,1412.0,52.0,1348.0,793.0,"12,8","63,2","0,9283",,,
16/03/2004,06.00.00,,1017.0,27.0,,681.0,82.0,1246.0,64.0,1418.0,870.0,"11,2","68,5","0,9081",,,
16/03/2004,07.00.00,,1171.0,50.0,,770.0,99.0,1162.0,70.0,1467.0,930.0,"11,0","66,5","0,8705",,,
16/03/2004,08.00.00,,1541.0,218.0,,1185.0,263.0,770.0,97.0,1889.0,1407.0,"11,7","63,7","0,8719",,,
16/03/2004,09.00.00,,1539.0,285.0,,1287.0,229.0,698.0,95.0,2055.0,1507.0,"13,6","56,3","0,8743",,,
16/03/2004,10.00.00,,1735.0,437.0,,1431.0,396.0,628.0,150.0,2211.0,1843.0,"17,8","42,9","0,8672",,,
16/03/2004,11.00.00,,1571.0,327.0,,1297.0,314.0,730.0,162.0,1973.0,1729.0,"21,4","33,3","0,8417",,,
16/03/2004,12.00.00,,1452.0,283.0,,1250.0,217.0,776.0,154.0,1868.0,1583.0,"24,4","27,4","0,8231",,,
16/03/2004,13.00.00,4.0,1579.0,366.0,,1359.0,252.0,724.0,161.0,1998.0,1671.0,"25,3","26,1","0,8264",,,
16/03/2004,14.00.00,,1466.0,318.0,,1309.0,263.0,773.0,161.0,1897.0,1491.0,"25,8","23,2","0,7589",,,
16/03/2004,15.00.00,,1280.0,228.0,,1136.0,180.0,893.0,128.0,1675.0,1240.0,"27,0","20,2","0,7094",,,
16/03/2004,16.00.00,,1407.0,201.0,,1197.0,184.0,905.0,129.0,1759.0,1313.0,"28,2","18,6","0,7014",,,
16/03/2004,17.00.00,,1389.0,199.0,,1173.0,190.0,898.0,133.0,1739.0,1363.0,"28,0","19,1","0,7098",,,
16/03/2004,18.00.00,,1447.0,237.0,,1235.0,184.0,859.0,139.0,1778.0,1296.0,"23,9","25,7","0,7519",,,
16/03/2004,19.00.00,,1551.0,261.0,,1271.0,181.0,800.0,137.0,1875.0,1432.0,"21,3","34,8","0,8730",,,
16/03/2004,20.00.00,,1474.0,230.0,,1173.0,166.0,854.0,143.0,1776.0,1432.0,"20,4","36,7","0,8704",,,
16/03/2004,21.00.00,,1800.0,349.0,,1426.0,317.0,700.0,177.0,2106.0,2034.0,"19,0","41,3","0,9007",,,
16/03/2004,22.00.00,,1379.0,183.0,,1101.0,184.0,818.0,138.0,1710.0,1602.0,"17,9","45,9","0,9342",,,
16/03/2004,23.00.00,,1201.0,88.0,,943.0,130.0,935.0,117.0,1560.0,1362.0,"16,7","48,9","0,9226",,,
17/03/2004,00.00.00,,1205.0,85.0,,925.0,132.0,922.0,107.0,1547.0,1314.0,"15,5","52,9","0,9271",,,
17/03/2004,01.00.00,,1072.0,47.0,,784.0,95.0,1066.0,90.0,1442.0,1114.0,"15,5","51,9","0,9059",,,
17/03/2004,02.00.00,,998.0,34.0,,714.0,70.0,1169.0,79.0,1383.0,992.0,"14,1","55,6","0,8910",,,
17/03/2004,03.00.00,,933.0,26.0,,625.0,,1292.0,,1332.0,884.0,"13,1","57,9","0,8666",,,
17/03/2004,04.00.00,-200.0,883.0,17.0,,577.0,54.0,1396.0,60.0,1303.0,808.0,"12,7","57,9","0,8447",,,
17/03/2004,05.00.00,,869.0,11.0,,554.0,28.0,1460.0,40.0,1268.0,667.0,"11,8","58,0","0,8026",,,
17/03/2004,06.00.00,,891.0,18.0,,576.0,46.0,1417.0,53.0,1289.0,733.0,"11,9","57,4","0,7978",,,
17/03/2004,07.00.00,,1173.0,84.0,,878.0,160.0,1038.0,84.0,1556.0,1052.0,"9,9","65,2","0,7956",,,
17/03/2004,08.00.00,,1587.0,260.0,,1334.0,320.0,702.0,108.0,1999.0,1534.0,"11,1","60,2","0,7958",,,
17/03/2004,09.00.00,,1852.0,534.0,,1696.0,377.0,553.0,127.0,2535.0,1931.0,"14,1","50,0","0,8020",,,
17/03/2004,10.00.00,,1522.0,368.0,,1331.0,280.0,703.0,134.0,2026.0,1734.0,"17,7","40,1","0,8048",,,
17/03/2004,11.00.00,,1438.0,200.0,,1161.0,221.0,819.0,135.0,1782.0,1595.0,"21,1","33,4","0,8265",,,
17/03/2004,12.00.00,,1393.0,145.0,,1067.0,210.0,905.0,142.0,1654.0,1490.0,"24,3","28,3","0,8471",,,
17/03/2004,13.00.00,,1452.0,188.0,,1152.0,204.0,861.0,153.0,1747.0,1508.0,"25,6","25,6","0,8254",,,
17/03/2004,14.00.00,,1389.0,152.0,,1108.0,161.0,887.0,123.0,1712.0,1334.0,"25,9","25,9","0,8503",,,
17/03/2004,15.00.00,2.0,1207.0,103.0,,994.0,135.0,1013.0,104.0,1520.0,1045.0,"26,8","18,7","0,6500",,,
17/03/2004,16.00.00,,1365.0,193.0,,1154.0,186.0,940.0,129.0,1679.0,1221.0,"29,3","15,8","0,6309",,,
17/03/2004,17.00.00,,1247.0,134.0,,1060.0,147.0,1032.0,114.0,1525.0,1069.0,"28,5","14,9","0,5708",,,
17/03/2004,18.00.00,5.0,1557.0,386.0,,1478.0,299.0,793.0,158.0,1981.0,1569.0,"25,9","16,0","0,5237",,,
17/03/2004,19.00.00,,1973.0,577.0,,1737.0,411.0,617.0,194.0,2414.0,2306.0,"23,1","26,5","0,7403",,,
17/03/2004,20.00.00,,1975.0,523.0,,1667.0,347.0,597.0,182.0,2416.0,2359.0,"20,5","38,2","0,9133",,,
17/03/2004,21.00.00,,1795.0,472.0,,1485.0,336.0,653.0,180.0,2174.0,2050.0,"19,1","42,6","0,9294",,,
17/03/2004,22.00.00,,1444.0,206.0,,1150.0,202.0,770.0,136.0,1727.0,1727.0,"17,2","44,1","0,8558",,,
17/03/2004,23.00.00,,1488.0,216.0,,1171.0,178.0,731.0,127.0,1778.0,1705.0,"16,0","50,9","0,9206",,,
18/03/2004,00.00.00,,1371.0,159.0,,1083.0,154.0,796.0,116.0,1669.0,1551.0,"14,8","53,9","0,9024",,,
18/03/2004,01.00.00,,1161.0,70.0,,904.0,92.0,947.0,107.0,1502.0,1240.0,"14,3","55,4","0,8975",,,
18/03/2004,02.00.00,1.0,1064.0,44.0,,787.0,61.0,1057.0,88.0,1407.0,1115.0,"14,8","52,1","0,8686",,,
18/03/2004,03.00.00,,970.0,42.0,,687.0,,1196.0,,1351.0,969.0,"13,9","53,9","0,8501",,,
18/03/2004,04.00.00,-200.0,954.0,28.0,,645.0,60.0,1260.0,78.0,1334.0,925.0,"11,6","61,9","0,8442",,,
18/03/2004,05.00.00,,931.0,20.0,,623.0,37.0,1293.0,57.0,1307.0,828.0,"12,0","58,9","0,8233",,,
18/03/2004,06.00.00,,938.0,26.0,,650.0,68.0,1251.0,71.0,1333.0,893.0,"10,9","62,1","0,8113",,,
18/03/2004,07.00.00,,1166.0,78.0,,885.0,139.0,1005.0,85.0,1551.0,1075.0,"10,6","63,3","0,8067",,,
18/03/2004,08.00.00,,1643.0,319.0,,1384.0,339.0,667.0,124.0,2094.0,1610.0,"11,5","60,0","0,8117",,,
18/03/2004,09.00.00,,1934.0,506.0,,1682.0,421.0,541.0,151.0,2468.0,2051.0,"14,3","50,6","0,8186",,,
18/03/2004,10.00.00,,1617.0,,,1333.0,349.0,686.0,150.0,2010.0,1819.0,"17,8","40,5","0,8210",,,
18/03/2004,11.00.00,,1473.0,,,1127.0,224.0,831.0,152.0,1752.0,1568.0,"20,8","34,4","0,8365",,,
18/03/2004,12.00.00,,1379.0,,,1068.0,171.0,899.0,139.0,1663.0,1374.0,"23,8","28,2","0,8219",,,
18/03/2004,13.00.00,,1385.0,,,1056.0,149.0,891.0,133.0,1648.0,1268.0,"24,2","28,7","0,8515",,,
18/03/2004,14.00.00,,1379.0,,,1087.0,137.0,901.0,126.0,1660.0,1144.0,"25,2","24,9","0,7829",,,
18/03/2004,15.00.00,,1322.0,,,1129.0,149.0,934.0,128.0,1639.0,1109.0,"27,0","17,8","0,6275",,,
18/03/2004,16.00.00,,1496.0,,,1205.0,172.0,822.0,169.0,1767.0,1347.0,"27,1","23,1","0,8180",,,
18/03/2004,17.00.00,,1409.0,,,1131.0,166.0,873.0,149.0,1689.0,1206.0,"25,8","23,9","0,7832",,,
18/03/2004,18.00.00,,1513.0,,,1338.0,214.0,764.0,156.0,1957.0,1397.0,"23,0","26,8","0,7446",,,
18/03/2004,19.00.00,,1667.0,,,1464.0,280.0,683.0,168.0,2118.0,1588.0,"20,7","31,1","0,7523",,,
18/03/2004,20.00.00,,1667.0,,,1453.0,276.0,684.0,176.0,2051.0,1569.0,"18,6","36,2","0,7676",,,
18/03/2004,21.00.00,,1430.0,,,1121.0,178.0,814.0,135.0,1732.0,1322.0,"16,0","48,4","0,8768",,,
18/03/2004,22.00.00,,1333.0,,,989.0,129.0,885.0,121.0,1621.0,1194.0,"14,5","57,8","0,9456",,,
18/03/2004,23.00.00,,1262.0,,,911.0,95.0,948.0,99.0,1545.0,1062.0,"13,1","64,2","0,9606",,,
